"employee_id","first_name","last_name","hire_date","termination_date","department","job_title","gender","age","location","employment_status","termination_reason","salary","tenure_months","year_month","attrition_type"
"ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85","Nicholas","Arnold","2024-05-07","2025-01-20","Finance","Financial Analyst","Non-Binary",29,"Los Angeles","Terminated","Involuntary",60695,"0","2024-05","Involuntary"
"7fcd9eb1-a7ca-4415-b66e-b16f508ebad7","Randall","Rocha","2025-01-10","2025-04-12","Marketing","SEO Specialist","Male",37,"Reno","Terminated","Involuntary",73726,"0","2025-01","Involuntary"
"ff50bde4-3825-47b8-9cab-cc97663f1c97","Whitney","Hicks","2023-03-28","2025-02-07","IT","Software Engineer","Male",25,"Las Vegas","Terminated","Voluntary",121784,"12","2023-03","Voluntary"
"1d53434b-b881-49b9-ae27-0da702f06b90","Erin","Herrera","2025-03-03","2025-04-18","Operations","Ops Manager","Male",40,"Los Angeles","Terminated","Involuntary",139012,"0","2025-03","Involuntary"
"c30ff46e-8026-495f-b8cd-a88b436d76e2","Guy","Gaines","2025-01-30","2025-04-15","Sales","Sales Rep","Male",45,"New York","Terminated","Involuntary",138748,"0","2025-01","Involuntary"
"32ebd689-9be5-48c7-81f6-31d4a39231a7","Eric","Farmer","2024-08-31","2024-11-10","Sales","Account Manager","Female",23,"Las Vegas","Terminated","Voluntary",133504,"0","2024-08","Voluntary"
"99546eb4-0025-4ad1-ab22-63dd87c5421e","Mario","Smith","2023-01-04","2024-10-21","Finance","Accountant","Male",58,"Las Vegas","Terminated","Involuntary",86385,"12","2023-01","Involuntary"
"2ef91276-6c00-4f61-a3e2-fcb472d8567d","Joshua","Wright","2021-07-23","2022-04-10","HR","Recruiter","Female",52,"New York","Terminated","Voluntary",76798,"0","2021-07","Voluntary"
"19108be5-8ce2-4ea3-9b20-a56edc815fe7","Brent","Kidd","2024-12-05","2025-02-05","Marketing","Marketing Manager","Female",38,"Los Angeles","Terminated","Voluntary",104672,"0","2024-12","Voluntary"
"2a25a888-0f02-4ad0-a706-7ef466aa9385","Nicholas","Galloway","2022-09-28","2023-04-17","IT","Data Analyst","Male",59,"Los Angeles","Terminated","Voluntary",96104,"0","2022-09","Voluntary"
"b253d218-6c4a-47ea-8906-17f2747b6dba","Susan","Cowan","2021-08-22","2024-07-10","Sales","Sales Rep","Male",26,"Reno","Terminated","Voluntary",62455,"24","2021-08","Voluntary"
"b0e6a969-e213-42b0-b1ee-dba313432e61","Rebecca","Gardner","2022-06-14","2022-06-24","IT","Data Analyst","Male",43,"Los Angeles","Terminated","Voluntary",109040,"0","2022-06","Voluntary"
"0ab54bde-20a0-4502-ae06-809725e97977","Kyle","Nolan","2024-06-26","2024-12-20","Operations","Logistics Coordinator","Non-Binary",28,"Los Angeles","Terminated","Voluntary",89970,"0","2024-06","Voluntary"
"ae9bec36-35c7-436c-9b99-62c6e61fecc0","John","Garcia","2024-04-17","2025-03-04","HR","Recruiter","Female",41,"New York","Terminated","Voluntary",81158,"0","2024-04","Voluntary"
"0e8fa8e0-284d-42e5-87f7-e1fbda4bd9ca","Susan","Miller","2022-10-30",NULL,"Sales","Sales Rep","Non-Binary",42,"New York","Active","N/A",89179,"24","2022-10","Active"
"dca02eec-acda-4acc-9165-e21098543881","Joe","Wilson","2021-03-30",NULL,"Finance","Financial Analyst","Female",42,"Las Vegas","Active","N/A",143039,"48","2021-03","Active"
"0a2c827e-9832-4856-9434-0a033f07f814","Christine","Barnes","2024-10-06",NULL,"HR","HR Specialist","Male",56,"New York","Active","N/A",128792,"0","2024-10","Active"
"42c18a62-ef48-48d5-90fd-9d3f85d51695","James","Moran","2023-03-26",NULL,"Sales","Sales Rep","Male",45,"Chicago","Active","N/A",100745,"24","2023-03","Active"
"a53f8a28-abf3-43fc-a181-3d25655238a6","Kevin","Stewart","2021-07-04",NULL,"IT","System Admin","Female",61,"Reno","Active","N/A",126200,"36","2021-07","Active"
"9f044aed-7552-4327-8262-7f7312922f83","Yolanda","Ferrell","2024-01-27",NULL,"HR","Recruiter","Non-Binary",28,"New York","Active","N/A",127692,"12","2024-01","Active"
"21e8ac68-43e4-4caf-8181-a8cc369147eb","Sarah","Ibarra","2020-09-05",NULL,"Finance","Accountant","Female",40,"Reno","Active","N/A",69029,"48","2020-09","Active"
"702cdd20-2862-48b8-88f4-ef125e9953d2","Martha","Warner","2024-09-16",NULL,"IT","System Admin","Non-Binary",38,"Reno","Active","N/A",81685,"0","2024-09","Active"
"8768a84f-a76a-4de6-8e9e-1a11fcbb4e59","Alan","Montoya","2023-05-16",NULL,"Marketing","Marketing Manager","Non-Binary",49,"Chicago","Active","N/A",61658,"12","2023-05","Active"
"e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7","Dennis","Wilson","2021-10-23",NULL,"HR","HR Manager","Female",32,"Los Angeles","Active","N/A",72146,"36","2021-10","Active"
"48212ddb-45b8-4cd9-a7cb-6f2a8da01097","Cassandra","Robbins","2020-11-06",NULL,"Sales","Sales Rep","Male",26,"New York","Active","N/A",128519,"48","2020-11","Active"
"81627cf1-4394-42e6-9a58-7e8aa25d6b29","Tracy","Whitehead","2021-05-01",NULL,"Sales","Sales Rep","Female",30,"Las Vegas","Active","N/A",103393,"36","2021-05","Active"
"d450281c-6c6f-4633-a260-772317a0df49","Joshua","Smith","2024-07-17",NULL,"Finance","Financial Analyst","Male",65,"New York","Active","N/A",60229,"0","2024-07","Active"
"295d6fbf-430f-401d-bad4-09e2a319dcb4","Joyce","Arnold","2024-03-03",NULL,"Operations","Ops Manager","Non-Binary",31,"New York","Active","N/A",128385,"12","2024-03","Active"
"f94d6204-6808-493f-9fed-2c43e256a6dc","Christine","Moore","2024-03-19",NULL,"IT","Software Engineer","Female",39,"Las Vegas","Active","N/A",80313,"12","2024-03","Active"
"ccc56569-f9e8-4369-a999-b735dd56cc94","Lisa","Keith","2024-12-17",NULL,"Finance","Financial Analyst","Non-Binary",56,"Chicago","Active","N/A",121768,"0","2024-12","Active"
"c84a7b28-550a-4b46-acab-3301bc8f7d29","Sarah","Pham","2020-06-09",NULL,"HR","HR Specialist","Non-Binary",38,"Las Vegas","Active","N/A",89237,"48","2020-06","Active"
"28c13091-444d-410b-bf87-e362cf8d446a","Kristin","Rodriguez","2024-08-19",NULL,"HR","HR Manager","Female",49,"Reno","Active","N/A",100309,"0","2024-08","Active"
"33173470-38f1-4a81-b87f-2425dbccc477","Lisa","Stevens","2024-09-03",NULL,"Sales","Sales Rep","Female",24,"Los Angeles","Active","N/A",130574,"0","2024-09","Active"
"39118497-3a43-42ba-9f0f-06cbcb9bc326","Andrew","Lee","2021-11-03",NULL,"HR","HR Manager","Non-Binary",64,"New York","Active","N/A",125575,"36","2021-11","Active"
"c5f8bc16-f786-4b50-91c5-8ef0dd463c09","Joshua","May","2021-12-15",NULL,"Finance","Financial Analyst","Non-Binary",42,"Las Vegas","Active","N/A",142062,"36","2021-12","Active"
"09cb3942-43f5-4a85-bbc9-f87af668a617","Daniel","Hamilton","2021-03-17",NULL,"Sales","Account Manager","Non-Binary",33,"Reno","Active","N/A",110108,"48","2021-03","Active"
"fbf6e16f-9b30-40d5-afb7-8271504d281f","William","Cruz","2023-12-16",NULL,"Sales","Sales Rep","Female",40,"New York","Active","N/A",126819,"12","2023-12","Active"
"0710d430-f071-4879-94c6-3cd889456f27","Darrell","Waller","2022-04-24","2025-04-05","Operations","Ops Manager","Female",47,"Chicago","Terminated","Involuntary",142410,"24","2022-04","Involuntary"
"85197ff4-006e-46e3-afa1-7735b572f3d0","Sara","Ryan","2023-03-13","2023-09-26","Marketing","SEO Specialist","Female",65,"New York","Terminated","Involuntary",115946,"0","2023-03","Involuntary"
"17e8392a-55ce-45db-9e87-e04ca2086977","Loretta","Potter","2020-09-26","2023-02-05","Marketing","SEO Specialist","Female",38,"New York","Terminated","Involuntary",75861,"24","2020-09","Involuntary"
"8eb22579-0cdb-4ca4-b6ec-bdd68498e113","John","Charles","2021-03-12","2025-02-21","IT","System Admin","Male",58,"Los Angeles","Terminated","Involuntary",131556,"36","2021-03","Involuntary"
"620e99d3-3b33-43d8-a69c-d696236c7b87","Heather","Mccarthy","2021-11-29","2023-10-01","IT","Software Engineer","Female",42,"New York","Terminated","Voluntary",61590,"12","2021-11","Voluntary"
"d72b6108-2a40-4f12-b963-f37f67814c1f","Tanner","Anderson","2021-12-29","2024-04-01","IT","Data Analyst","Female",58,"Los Angeles","Terminated","Voluntary",130849,"24","2021-12","Voluntary"
"a9ba5a27-907b-4e36-9786-48f864de82e6","Anthony","Day","2023-06-05","2023-06-23","Marketing","Marketing Manager","Male",41,"Reno","Terminated","Voluntary",64961,"0","2023-06","Voluntary"
"53cd6268-610c-4373-8299-9aa40cdf742b","Jason","Murphy","2020-12-28","2022-12-27","HR","HR Manager","Female",64,"Chicago","Terminated","Voluntary",100508,"12","2020-12","Voluntary"
"f3b1025b-fff9-4585-8d55-7b618a175dfe","Michael","Santos","2020-09-21","2020-10-23","Marketing","Marketing Manager","Female",33,"Reno","Terminated","Involuntary",147708,"0","2020-09","Involuntary"
"cbd58bf6-1efd-46e9-8e37-14af99b49350","Tonya","Patton","2024-03-05","2025-02-22","Marketing","Marketing Manager","Female",37,"Chicago","Terminated","Voluntary",93566,"0","2024-03","Voluntary"
"5ad5cf06-364d-4c87-bcd0-129d2e8d0e87","Lauren","Peterson","2020-06-16","2024-08-04","HR","Recruiter","Female",43,"New York","Terminated","Involuntary",116524,"48","2020-06","Involuntary"
